"       ","                                   ","          ","         ","                   ","                            ","                        ","  ","                     "
"ITEM   ","WINE DESC                          ","          ","         "," PROD GRP          ","COUNTRY                     ","SUB REGION           CL ","CL","CLASS DESC           "
"00458  ","SUNQUICK RED FRUIT                 ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00459  ","SUNQUICK CATERING LEMON            ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00460  ","SUNQUICK CATERING ORANGE           ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00461  ","SUNQUICK CATERING TROPIC           ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00462  ","SUNQUICK CATERING APPLE            ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00463  ","SUNQUICK CATERING MANGO            ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00464  ","SUNQUICK CATERING PINEAPPLE        ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00466  ","SUNQUICK APPLE                     ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00467  ","SUNQUICK MIX                       ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00468  ","SUNQUICK MIX                       ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00469  ","SUNTOP ORANGE                      ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00470  ","SUNTOP TROPICAL                    ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00471  ","SUNTOP REDFRUIT                    ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00472  ","GREAT GINSENG                      ","          ","         "," ENERGY DRINK      ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00473  ","GREAT GINGER                       ","          ","         "," ENERGY DRINK      ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00474  ","GREAT GINSENG COOL                 ","          ","         "," ENERGY DRINK      ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00483  ","SUNQUICK ICE TEA                   ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00484  ","SUNQUICK ORANGE GOLD               ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00485  ","SUNTOP APPLE                       ","1         ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00486  ","SUNTOP PINEAPPLE                   ","          ","         "," JUICE             ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00488  ","SUNQUICK BLACKCURRANT              ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00489  ","SAN BEN ICE TEA LEMON (PET)        ","          ","         "," WATER             ","                            ","                     WT ","WT","WATER IMPORTED       "
"00490  ","SAN BEN ICE TEA PEACH (PET)        ","          ","         "," WATER             ","                            ","                     WT ","WT","WATER IMPORTED       "
"00492  ","SUNQUICK ICE LOLLIES BLACKCURRANT  ","1         ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
"00493  ","SUNQUICK ICE LOLLIES ORANGE        ","          ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
"00494  ","SUNQUICK ICE LOLLIES STRAWBERRY    ","1         ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
"00495  ","SUNQUICK ICE LOLLIES TROPICAL      ","1         ","         "," ICE LOLLIES       ","                            ","                     FD ","FD","FOOD                 "
