"ITEM   ","WINE DESC                        ","BEER DESCR                        ","CU/ML BR ","CU/ML  ","U/C"," CASE UPC    "," BOTL UPC   ","      RETL UPC","SUB","SUB DESCRP     ","BRN","BRAND DESC    ","SP ","                "
"818891 ","PRESENTATION C ASE PYRAMID       ","PRESENTATION CASE PYRAMID         ","         ","       ","  1","000000000000 ","000000818891","00000000000000","Z96","TEA FORTE INC  ","Z96","TEA FORTE INC ","L3 ","TEA FORTE INC   "
"818892 ","PRESENTATION T RAY PYRAMID       ","PRESENTATION TRAY PYRAMID         ","         ","       ","  1","000000000000 ","066319920003","00000000000000","Z96","TEA FORTE INC  ","Z96","TEA FORTE INC ","L3 ","TEA FORTE INC   "
"818923 ","1/2LB MEDIUM R ECT CANDY TRAY    ","1/2LB MEDIUM RECT CANDY TRAY      ","         ","       ","  1","000000000000 ","000000818923","00000000000000","Z68","NASHVILLE WRAP ","Z68","NASHVILLE WRAP","H8 ","NASHVILLE WRAPS "
"819065 ","TRAY OVAL MAPL E                 ","TRAY OVAL MAPLE                   ","         ","       ","  1","000000000000 ","663199206020","00000000000000","Z96","TEA FORTE INC  ","Z96","TEA FORTE INC ","L3 ","TEA FORTE INC   "
"819066 ","TRAY TRIBECCA EBONY              ","TRAY TRIBECCAEBONY                ","         ","       ","  1","000000000000 ","663199207164","00000000000000","Z96","TEA FORTE INC  ","Z96","TEA FORTE INC ","L3 ","TEA FORTE INC   "
"819070 ","STANDING CANOP Y                 ","STANDING CANOPY                   ","         ","       ","  1","000000000000 ","000000819070","00000000000000","Z30","DOMUS VENTURES ","Z30","DOMUS VENTURES","D7 ","DOMUS VENTURES  "
"819163 ","CAHAL-FLAX OVE RSI  ACC OTTOMAN  ","CAHAL-FLAX OVERSI  ACC OTTOMAN    ","         ","       ","  1","000000000000 ","024052159035","00024052159035","Z07","ASHLEY FURNITU ","Z07","ASHLEY FURNITU","A7 ","ASHLEY FURNITURE"
"819207 ","BLOCK KARLSTAD ICE BUCKET        ","BLOCK KARLSTADICE BUCKET          ","         ","       ","  1","000000000000 ","728216302151","00000000000000","Z62","MIKASA         ","Z62","MIKASA        ","G9 ","MIKASA          "
"819210 ","BLK MNTAK CANA PE PLATE 6""       ","BLK MNTAK CANAPE PLATE 6""         ","         ","       ","  1","000000000000 ","885991035503","00885991035503","Z62","MIKASA         ","Z62","MIKASA        ","G9 ","MIKASA          "
"819382 ","S&P TEA CUP & SAUCER             ","S&P TEA CUP &SAUCER               ","         ","       ","  1","000000000000 ","319882395090","00000000000000","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819454 ","S&P BLADE SET OF CHEES KNIFE     ","S&P BLADE SETOF CHEES KNIFE       ","         ","       ","  1","000000000000 ","319882410144","09319882410144","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819462 ","S&P STUDIO TOO TH PICK 50 PC     ","S&P STUDIO TOOTH PICK 50 PC       ","         ","       ","  1","000000000000 ","319882397209","09319882397209","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819463 ","S&P STUDIO TOO TH PICK 50 PC     ","S&P STUDIO TOOTH PICK 50 PC       ","         ","       ","  1","000000000000 ","319882397216","09319882397216","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819464 ","S&P STUDIO TOO TH PICK  50 PC    ","S&P STUDIO TOOTH PICK  50 PC      ","         ","       ","  1","000000000000 ","319882397223","09319882397223","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819465 ","S&P STUDIO TOT H PICK 50 PC      ","S&P STUDIO TOTH PICK 50 PC        ","         ","       ","  1","000000000000 ","319882397278","00000000000000","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"819624 ","LRG RW DECOR G LASS TEA BLOSS    ","LRG RW DECOR GLASS TEA BLOSS      ","         ","       ","  1","000000000000 ","663595460088","00000000000000","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819629 ","WW WAX MELT LA VENDER SPA        ","WW WAX MELT LAVENDER SPA          ","         ","       ","  1","000000000000 ","663595344920","00663595344920","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819631 ","WW MINI WAX ME LT LINEN          ","WW MINI WAX MELT LINEN            ","         ","       ","  1","000000000000 ","663595571357","00663595571357","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819640 ","WW MINI WAX ME LT SAND & DRIFTW  ","WW MINI WAX MELT SAND & DRIFTW    ","         ","       ","  1","000000000000 ","663595573788","00663595573788","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819649 ","WW GALLERIE TI N LINEN           ","WW GALLERIE TIN LINEN             ","         ","8.5    ","  1","000000000000 ","663595776585","00663595776585","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819651 ","WW AROMA OIL F IRESIDE           ","WW AROMA OIL FIRESIDE             ","         ","       ","  1","000000000000 ","663595811064","00663595811064","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819657 ","RD REFILL 4OZ SAND & DRIFTWOOD   ","RD REFILL 4OZSAND & DRIFTWOOD     ","         ","       ","  1","000000000000 ","663595413787","00663595413787","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819658 ","RD 7OZ LINEN                     ","RD 7OZ LINEN                      ","         ","       ","  1","000000000000 ","663595421355","00663595421355","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819673 ","WW LRG CANDLE GIFT BOX           ","WW LRG CANDLEGIFT BOX             ","         ","       ","  1","000000000000 ","000000819673","00000000000000","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819674 ","WW MINI CANDLE  GIFT BOX         ","WW MINI CANDLE GIFT BOX           ","         ","       ","  1","000000000000 ","000000819674","00000000000000","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819675 ","WW MED CANDLE GIFT BOX           ","WW MED CANDLEGIFT BOX             ","         ","       ","  1","000000000000 ","000000819675","00000000000000","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819676 ","WW ECLIPSE CAN DLE GIFT BOX      ","WW ECLIPSE CANDLE GIFT BOX        ","         ","       ","  1","000000000000 ","000000819676","00000000000000","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819686 ","WW CAR VENT CL EAN RAIN          ","WW CAR VENT CLEAN RAIN            ","         ","       ","  1","000000000000 ","663595850988","00663595850988","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819689 ","WW CAR VENT LA VENDER SPA        ","WW CAR VENT LAVENDER SPA          ","         ","       ","  1","000000000000 ","663595854924","00663595854924","ZZ8","VIRGINIA GIFT  ","ZZ8","VIRGINIA GIFT ","M2 ","VIRGINIA GIFT BR"
"819712 ","4-PK 16 OZ TRA VEL CUPS          ","4-PK 16 OZ TRAVEL CUPS            ","         ","       ","  1","000000000000 ","086279046512","00000000000000","Z27","CUISINART CORP ","Z27","CUISINART CORP","D4 ","ABBOUD TRADING C"
"819714 ","37451 GOLD&RED  LIKEURCAKE AMARET","37451 GOLD&RED LIKEURCAKE AMARETTO","         ","       ","  1","000000000000 ","710296374519","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
"819717 ","KOERS TOAST-SC HEEPS BESCHUIT    ","KOERS TOAST-SCHEEPS BESCHUIT      ","         ","       ","  1","000000000000 ","710296558582","00000000000000","Z09","BICKERY        ","Z09","BICKERY FOOD G","A9 ","BICKERY FOOD GRO"
