"ITEM  ","DEL","DI","DUTY PD "," DUTY FR ","    COST ","  PR 01 ","  PR 02 ","  PR 03 ","  PR 04 ","  PR 05 ","  PR 06 "," BEEROH ","WINEOH ","UM","B6%","B9%","W6%","W9%","TX?","  PR 07 ","  PR 08 ","  PR 09 ","  PR 10 ","  PR 11 "," ST"
"204013","   ","  "," 289.980","  193.560","  289.980","  592.83","  592.83","  681.75","  652.11","  622.47","  356.24","        ","       ","WW","   ","   ","   ","  1","Y  ","  356.24","  356.24","  356.24","  592.83","  295.81"," M "
"204014","   ","D "," 174.000","  174.000","  174.000","  221.70","  221.70","  254.96","  243.87","  232.79","  221.70","        ","       ","WW","   ","   ","   ","  1","Y  ","  221.70","  221.70","  221.70","  221.70","  221.70"," D "
"204015","   ","D "," 251.670","   96.350","  251.670","  362.05","  362.05","  416.36","  398.24","  380.15","  175.27","        ","       ","WW","   ","   ","   ","  1","Y  ","  175.27","  175.27","  175.27","  362.05","  175.27"," D "
"204016","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"205001","   ","D "," 333.839","  256.015","  333.839","  561.44","  561.44","  645.65","  617.58","  589.51","  442.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  442.00","  442.00","  442.00","  561.44","  442.00"," D "
"205003","   ","D "," 384.660","  307.384","  384.660","  643.01","  643.01","  739.46","  707.31","  675.16","  524.44","        ","       ","WW","   ","   ","   ","  1","Y  ","  524.44","  524.44","  524.44","  643.01","  524.44"," D "
"205005","   ","  "," 496.380","  409.802","  496.380","  804.83","  804.83","  925.55","  885.31","  845.07","  688.99","        ","       ","WW","   ","   ","   ","  1","Y  ","  688.99","  688.99","  688.99","  804.83","  688.99"," A "
"205007","   ","  "," 324.050","   96.690","  324.050","  463.01","  463.01","  532.47","  509.32","  486.16","  200.23","        ","       ","WW","   ","   ","   ","  1","Y  ","  127.14","  127.14","  200.23","  463.01","  262.25"," M "
"205009","   ","  "," 324.050","   96.690","  324.050","  463.05","  463.05","  532.51","  509.36","  486.21","  200.23","        ","       ","WW","   ","   ","   ","  1","Y  ","  126.78","  126.78","  200.23","  463.05","  262.25"," M "
"205010","   ","  "," 399.269","  264.569","  399.269","  599.70","  599.70","  689.66","  659.67","  629.69","  405.00","        ","    6.0","WW","   ","   ","   ","  1","Y  ","  405.00","  405.00","  405.00","  539.73","  405.00"," A "
"205011","   ","  "," 455.030","  315.510","  455.030","  690.00","  690.00","  793.50","  759.00","  724.50","  495.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  495.00","  495.00","  495.00","  621.00","  495.00"," A "
"205012","   ","D ","  77.760","   61.200","   77.760","  193.18","  193.18","  221.61","  212.86","  203.39","  193.18","        ","       ","WW","   ","   ","   ","  1","Y  ","  193.18","  193.18","  193.18","  193.18","  103.51"," D "
"205013","   ","  "," 537.184","  390.554","  537.184","  837.00","  837.00","  962.55","  920.70","  878.85","  609.00","        ","    6.0","WW","   ","   ","   ","  1","Y  ","  609.00","  609.00","  609.00","  753.30","  609.00"," A "
"205014","   ","  ","1781.010"," 1526.610"," 1781.010"," 2850.00"," 2850.00"," 3277.50"," 3135.00"," 2992.50"," 2460.00","        ","    6.0","WW","   ","   ","   ","  1","Y  "," 2460.00"," 2460.00"," 2460.00"," 2565.00"," 2460.00"," A "
"205015","   ","D ","1798.143"," 1590.745"," 1798.143"," 2977.51"," 2977.51"," 3424.13"," 3275.26"," 3126.38"," 2745.63","        ","       ","WW","   ","   ","   ","  1","Y  "," 2745.63"," 2745.63"," 2745.63"," 2977.51"," 2745.63"," D "
"205016","   ","  "," 729.715","  399.531","  729.715"," 1042.44"," 1042.44"," 1198.81"," 1146.68"," 1094.56","  614.64","        ","   12.0","WW","   ","   ","   ","  1","Y  ","  614.64","  614.64","  614.64","  938.20","  575.00"," A "
"205017","   ","D "," 209.819","  141.177","  209.819","  308.00","  308.00","  354.23","  338.80","  323.43","  259.90","        ","       ","WW","   ","   ","   ","  1","Y  ","  207.74","  207.74","  259.90","  308.00","  259.90"," D "
"205018","   ","  "," 783.744","  448.886","  783.744"," 1119.60"," 1119.60"," 1287.54"," 1231.56"," 1175.58","  690.60","        ","   14.0","WW","   ","   ","   ","  1","Y  ","  690.60","  690.60","  690.60"," 1007.64","  642.50"," A "
"205020","   ","  "," 341.924","  212.354","  341.924","  570.00","  570.00","  655.50","  627.00","  598.50","  354.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  303.36","  570.00","  570.00","  570.00","  354.00"," M "
"205022","   ","  "," 408.866","  248.827","  408.866","  531.00","  531.00","  610.65","  584.10","  557.55","  357.04","        ","    2.0","WW","   ","   ","   ","  1","Y  ","  357.04","  357.04","  357.04","  531.00","  357.04"," A "
"205023","   ","D "," 212.940","  141.298","  212.940","  380.01","  380.01","  437.01","  418.01","  399.01","  259.90","        ","       ","WW","   ","   ","   ","  1","Y  ","  207.92","  207.92","  259.90","  380.01","  259.90"," D "
"205024","   ","D "," 683.848","  424.708","  683.848"," 1140.00"," 1140.00"," 1311.00"," 1254.00"," 1197.00","  708.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  606.72"," 1140.00"," 1140.00"," 1140.00","  708.00"," D "
"205025","   ","D "," 405.967","  346.198","  405.967","  654.75","  654.75","  752.96","  720.22","  687.48","  529.74","        ","       ","WW","   ","   ","   ","  1","Y  ","  529.74","  529.74","  529.74","  654.75","  579.49"," D "
"205026","   ","  "," 772.055","  511.328","  772.055"," 1194.00"," 1194.00"," 1373.10"," 1313.40"," 1253.70","  990.00","        ","   14.0","WW","   ","   ","   ","  1","Y  ","  872.44","  872.44","  990.00"," 1074.60","  675.00"," A "
"205027","   ","  "," 996.887","  722.137","  996.887"," 1443.96"," 1443.96"," 1660.55"," 1588.36"," 1516.16"," 1201.80","        ","    9.0","WW","   ","   ","   ","  1","Y  "," 1143.34"," 1143.34"," 1201.80"," 1299.56","  975.00"," A "
"205028","   ","  "," 864.081","  596.161","  864.081"," 1245.12"," 1245.12"," 1431.89"," 1369.63"," 1307.38"," 1144.32","        ","       ","WW","   ","   ","   ","  1","Y  ","  967.97","  967.97"," 1144.32"," 1120.61","  825.00"," A "
"205029","   ","  ","1433.731"," 1335.115"," 1433.731"," 2046.10"," 2046.10"," 2353.01"," 2250.71"," 2148.40"," 2000.76","        ","       ","WW","   ","   ","   ","  1","Y  "," 2000.76"," 2000.76"," 2000.76"," 2046.10"," 2000.76"," M "
"205030","   ","  "," 619.646","  559.796","  619.646","  900.42","  900.42"," 1035.49","  990.47","  945.44","  845.75","        ","       ","WW","   ","   ","   ","  1","Y  ","  845.75","  845.75","  845.75","  900.42","  845.75"," M "
"205031","   ","D "," 310.865","  234.596","  310.865","  490.18","  490.18","  563.70","  539.20","  514.69","  431.60","        ","       ","WW","   ","   ","   ","  1","Y  ","  345.21","  345.21","  431.60","  490.18","  431.60"," D "
"205032","   ","  "," 365.497","  233.673","  365.497","  490.36","  490.36","  563.91","  539.40","  514.88","  429.74","        ","    1.0","WW","   ","   ","   ","  1","Y  ","  343.88","  343.88","  429.74","  490.36","  429.74"," A "
"205033","   ","  "," 368.503","  236.412","  368.503","  495.19","  495.19","  569.47","  544.71","  519.95","  376.12","        ","       ","WW","   ","   ","   ","  1","Y  ","  347.86","  347.86","  376.12","  495.19","  376.12"," A "
"205034","   ","  "," 305.273","   92.063","  305.273","  485.05","  485.05","  557.80","  533.54","  509.30","  168.08","        ","   16.0","WW","   ","   ","   ","  1","Y  ","  134.72","  134.72","  168.08","  485.05","  153.79"," A "
"205035","   ","  "," 313.606","   99.676","  313.606","  497.47","  497.47","  572.09","  547.27","  522.34","  182.47","        ","    7.0","WW","   ","   ","   ","  1","Y  ","  145.84","  145.84","  182.47","  497.47","  166.81"," A "
"205036","   ","  "," 354.140","  136.830","  354.140","  508.20","  508.20","  584.43","  559.02","  533.61","  241.98","        ","       ","WW","   ","   ","   ","  1","Y  ","  193.58","  193.58","  241.98","  508.20","  241.98"," A "
"205037","   ","  "," 356.310","  138.810","  356.310","  510.60","  510.60","  587.19","  561.66","  536.13","  245.25","        ","       ","WW","   ","   ","   ","  1","Y  ","  196.20","  196.20","  245.25","  510.60","  245.25"," A "
"205038","   ","  "," 292.960","   67.430","  292.960","  414.43","  414.43","  476.59","  455.87","  435.15","  122.95","        ","       ","WW","   ","   ","   ","  1","Y  ","   98.10","   98.10","  122.95","  414.43","  122.95"," A "
"205039","   ","  "," 360.260","   80.920","  360.260","  509.88","  509.88","  586.37","  560.87","  535.38","  147.15","        ","       ","WW","   ","   ","   ","  1","Y  ","  117.72","  117.72","  147.15","  509.88","  147.15"," M "
"205040","   ","D "," 292.888","   67.368","  292.888","  445.85","  445.85","  512.72","  490.43","  468.14","  122.30","        ","       ","WW","   ","   ","   ","  1","Y  ","  104.64","  104.64","  122.30","  445.85","  122.30"," D "
"205041","   ","X ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," X "
"205042","   ","  "," 350.010","  120.396","  350.010","  527.28","  527.28","  606.38","  580.01","  553.65","  253.75","        ","    6.0","WW","   ","   ","   ","  1","Y  ","  217.78","  217.78","  253.75","  527.28","  286.97"," A "
"205043","   ","  "," 360.908","  130.430","  360.908","  545.62","  545.62","  627.47","  600.19","  572.91","  274.68","        ","       ","WW","   ","   ","   ","  1","Y  ","  235.44","  235.44","  274.68","  545.62","  274.68"," A "
"206001","   ","  "," 391.233","  170.404","  391.233","  552.36","  552.36","  635.21","  607.60","  579.98","  277.44","        ","    5.0","WW","   ","   ","   ","  1","Y  ","  254.40","  254.40","  552.36","  497.12","  277.44"," A "
"206002","   ","  "," 326.261","  110.781","  326.261","  570.00","  570.00","  655.50","  627.00","  598.50","  184.80","        ","    7.0","WW","   ","   ","   ","  1","Y  ","  158.40","  158.40","  570.00","  570.00","  184.80"," A "
"206003","   ","D "," 371.460","  292.318","  371.460","  618.65","  618.65","  711.44","  680.51","  649.58","  537.61","        ","       ","WW","   ","   ","   ","  1","Y  ","  537.61","  537.61","  537.61","  618.65","  537.61"," D "
"206004","   ","  "," 391.208","  172.268","  391.208","  570.00","  570.00","  655.50","  627.00","  598.50","  294.00","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  294.00","  294.00","  294.00","  513.00","  294.00"," A "
"206005","   ","  "," 346.979","  116.539","  346.979","  496.94","  496.94","  571.48","  546.63","  521.78","  214.54","        ","    8.0","WW","   ","   ","   ","  1","Y  ","  171.46","  171.46","  214.54","  496.94","  214.54"," A "
"206011","   ","  "," 253.550","   44.750","  253.550","  433.82","  433.82","  498.90","  477.21","  455.51","   99.32","        ","       ","WW","   ","   ","   ","  1","Y  ","   79.46","   79.46","   99.32","  433.82","   61.02"," M "
"206013","   ","  "," 338.930","  123.090","  338.930","  546.00","  546.00","  627.90","  600.60","  573.30","  164.22","        ","    6.0","WW","   ","   ","   ","  1","Y  ","  164.22","  164.22","  164.22","  505.64","  164.22"," A "
"206016","   ","D "," 171.418","  112.800","  171.418","  341.20","  341.20","  392.38","  375.32","  358.26","  206.93","        ","       ","WW","   ","   ","   ","  1","Y  ","  165.99","  165.99","  206.93","  341.20","  206.93"," D "
"206020","   ","  "," 147.670","   41.480","  147.670","  246.04","  246.04","  282.95","  270.64","  258.34","   93.52","        ","       ","WW","   ","   ","   ","  1","Y  ","   93.52","   93.52","   93.52","  246.04","   93.52"," A "
"207001","   ","  "," 881.115","  676.265","  881.115"," 1434.00"," 1434.00"," 1649.10"," 1577.40"," 1505.70"," 1194.00","        ","   22.0","WW","   ","   ","   ","  1","Y  "," 1194.00"," 1194.00"," 1194.00"," 1290.60"," 1194.00"," A "
"207002","   ","D "," 298.859","  229.622","  298.859","  448.03","  448.03","  515.22","  492.86","  470.44","  448.03","        ","       ","WW","   ","   ","   ","  1","Y  ","  448.03","  448.03","  448.03","  448.03","  387.46"," D "
"207003","   ","  "," 885.192","  537.097","  885.192"," 1380.00"," 1380.00"," 1587.00"," 1518.00"," 1449.00","  870.00","        ","   25.0","WW","   ","   ","   ","  1","Y  ","  870.00","  870.00","  870.00"," 1242.00","  870.00"," A "
"207004","   ","  "," 229.438","  162.657","  229.438","  421.90","  421.90","  485.19","  464.09","  443.00","  298.64","        ","       ","WW","   ","   ","   ","  1","Y  ","  298.64","  298.64","  298.64","  421.90","  298.64"," M "
"207005","   ","  "," 618.398","  374.870","  618.398","  942.00","  942.00"," 1083.30"," 1036.20","  989.10","  594.00","        ","   28.0","WW","   ","   ","   ","  1","Y  ","  594.00","  594.00","  594.00","  847.80","  594.00"," A "
"207006","   ","  "," 858.559","  597.745","  858.559"," 1470.00"," 1470.00"," 1690.50"," 1617.00"," 1543.50"," 1068.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 1068.00"," 1068.00"," 1068.00"," 1323.00","  785.00"," A "
"207007","   ","  "," 310.274","  188.529","  310.274","  468.00","  468.00","  538.20","  514.80","  491.40","  294.00","        ","   20.0","WW","   ","   ","   ","  1","Y  ","  294.00","  294.00","  294.00","  421.20","  294.00"," A "
"207009","   ","  "," 356.314","  216.977","  356.314","  534.00","  534.00","  614.10","  587.40","  560.70","  336.00","        ","   85.0","WW","   ","   ","   ","  1","Y  ","  336.00","  336.00","  336.00","  480.60","  336.00"," A "
"207010","   ","  "," 413.895","  311.471","  413.895","  600.00","  600.00","  690.00","  660.00","  630.00","  536.36","        ","       ","WW","   ","   ","   ","  1","Y  ","  506.56","  506.56","  536.36","  600.00","  536.36"," M "
"207011","   ","  "," 760.586","  480.981","  760.586"," 1080.00"," 1080.00"," 1242.00"," 1188.00"," 1134.00","  672.00","        ","  168.0","WW","   ","   ","   ","  1","Y  ","  672.00","  672.00","  672.00","  972.00","  672.00"," A "
"207013","   ","  "," 459.446","  284.239","  459.446","  690.00","  690.00","  793.50","  759.00","  724.50","  438.00","        ","   83.0","WW","   ","   ","   ","  1","Y  ","  438.00","  438.00","  438.00","  621.00","  438.00"," A "
"207014","   ","  ","2921.615"," 2482.775"," 2921.615"," 5154.00"," 5154.00"," 5927.10"," 5669.40"," 5411.70"," 4782.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 4782.00"," 4782.00"," 4782.00"," 4638.60"," 4782.00"," A "
"207015","   ","  ","4635.320"," 4374.220"," 4635.320"," 7833.91"," 7833.91"," 9008.99"," 8617.30"," 8225.60"," 7946.54","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 7946.54"," 7946.54"," 7946.54"," 7833.91"," 7946.54"," M "
"207017","   ","  "," 986.356","  714.428","  986.356"," 1380.00"," 1380.00"," 1587.00"," 1518.00"," 1449.00"," 1002.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 1002.00"," 1002.00"," 1002.00"," 1242.00"," 1002.00"," A "
"207019","   ","  ","2870.429"," 2435.346"," 2870.429"," 4110.00"," 4110.00"," 4726.50"," 4521.00"," 4315.50"," 3450.00","        ","       ","WW","   ","   ","   ","  1","Y  "," 3450.00"," 3450.00"," 3450.00"," 3699.00"," 3450.00"," A "
"207020","   ","  ","1115.370","  831.720"," 1115.370"," 1599.87"," 1599.87"," 1839.85"," 1759.85"," 1679.86"," 1529.88","        ","       ","WW","   ","   ","   ","  1","Y  "," 1529.88"," 1529.88"," 1529.88"," 1599.87"," 1529.88"," M "
"207021","   ","  "," 507.140","         ","  507.140","  676.19","  676.19","  676.19","  743.81","  710.00","  676.19","        ","   12.0","WW","   ","   ","   ","  1","Y  ","  676.19","  676.19","  676.19","  676.19","  676.19"," A "
"207022","   ","  ","1797.480"," 1726.800"," 1797.480"," 2827.12"," 2827.12"," 3251.18"," 3109.83"," 2968.47"," 3176.25","        ","       ","WW","   ","   ","   ","  1","Y  "," 3176.25"," 3176.25"," 3176.25"," 2827.12"," 3176.25"," M "
"207023","   ","  ","4314.431"," 3894.581"," 4314.431"," 7197.00"," 7197.00"," 8276.55"," 7916.70"," 7556.85"," 6597.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 6597.00"," 6597.00"," 6597.00"," 6477.30"," 6597.00"," A "
"207025","   ","  "," 716.361","  454.188","  716.361"," 1019.70"," 1019.70"," 1172.66"," 1121.67"," 1070.68","  645.00","        ","   13.0","WW","   ","   ","   ","  1","Y  ","  645.00","  645.00","  645.00","  917.73","  645.00"," A "
"207027","   ","  "," 329.572","  207.601","  329.572","  471.00","  471.00","  541.65","  518.10","  494.55","  297.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  297.00","  297.00","  297.00","  423.90","  297.00"," A "
"207029","   ","  ","1435.615"," 1217.925"," 1435.615"," 2055.00"," 2055.00"," 2363.25"," 2260.50"," 2157.75"," 1739.88","        ","       ","WW","   ","   ","   ","  1","Y  "," 2055.00"," 2055.00"," 2055.00"," 1849.50"," 2055.00"," A "
"207030","   ","  ","9909.980","         ","19909.980","28442.83","28442.83","28442.83","31287.11","29864.97","28442.83","        ","    1.0","WW","   ","   ","   ","  1","Y  ","28442.83","28442.83","28442.83","28442.83","28442.83"," A "
"207031","   ","  "," 578.075","  440.865","  578.075","  945.00","  945.00"," 1086.75"," 1039.50","  992.25","  736.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  648.90","  648.90","  736.50","  850.50","  736.50"," A "
"207032","   ","  ","3211.133","12027.353","13211.133","20250.00","20250.00","23287.50","22275.00","21262.50","19066.20","        ","    1.0","WW","   ","   ","   ","  1","Y  ","19066.20","19066.20","20250.00","20250.00","19066.20"," A "
"207034","   ","D "," 337.415","  264.698","  337.415","  529.69","  529.69","  609.14","  582.66","  556.17","  417.49","        ","       ","WW","   ","   ","   ","  1","Y  ","  417.49","  417.49","  417.49","  529.69","  408.35"," D "
"207035","   ","D "," 432.140","  301.199","  432.140","  584.00","  584.00","  671.61","  642.38","  613.21","  482.33","        ","       ","WW","   ","   ","   ","  1","Y  ","  401.08","  401.08","  482.33","  584.00","  482.33"," D "
"207036","   ","D "," 376.060","  301.520","  376.060"," 1002.52"," 1002.52"," 1152.90"," 1002.54"," 1052.65","  858.18","        ","       ","WW","   ","   ","   ","  1","Y  ","  858.18","  858.18","  858.18"," 1002.52","  858.18"," D "
"207037","   ","  "," 448.600","  309.590","  448.600","  735.00","  735.00","  845.25","  808.50","  771.75","  525.00","        ","    7.0","WW","   ","   ","   ","  1","Y  ","  735.00","  735.00","  735.00","  661.50","  735.00"," A "
"208003","   ","  "," 180.767","   91.776","  180.767","  370.59","  370.59","  426.18","  407.65","  389.12","  168.85","        ","       ","WW","   ","   ","   ","  1","Y  ","  113.19","  113.19","  168.85","  370.59","  168.85"," M "
"208005","   ","  "," 188.490","   78.270","  188.490","  317.37","  317.37","  364.97","  349.10","  333.23","  174.81","        ","    5.0","WW","   ","   ","   ","  1","Y  ","  138.94","  138.94","  174.81","  317.37","  174.81"," A "
"208007","   ","  "," 173.300","  108.790","  173.300","  328.56","  328.56","  377.84","  361.41","  344.98","  197.84","        ","       ","WW","   ","   ","   ","  1","Y  ","  197.84","  197.84","  197.84","  328.56","  197.84"," A "
"208009","   ","  "," 103.201","   61.199","  103.201","  140.82","  140.82","  161.94","  154.90","  147.86","  112.56","        ","       ","WW","   ","   ","   ","  1","Y  ","   90.06","   90.06","  112.56","  140.82","  112.56"," M "
"208013","   ","  "," 301.781","         ","  301.781","  436.79","  436.79","  502.28","  480.53","  458.66","  436.79","        ","       ","WW","   ","   ","   ","  1","Y  ","  436.79","  436.79","  436.79","  436.79","  436.79"," M "
"208014","   ","  "," 630.132","         ","  630.132"," 1063.45"," 1063.45"," 1222.97"," 1169.80"," 1116.63"," 1063.45","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 1063.45"," 1063.45"," 1063.45"," 1063.45"," 1063.45"," M "
"208015","   ","X "," 910.704","         ","  910.704"," 1531.28"," 1531.28"," 1760.98"," 1684.41"," 1607.85"," 1531.28","        ","       ","WW","   ","   ","   ","  1","Y  "," 1531.28"," 1531.28"," 1531.28"," 1531.28"," 1531.28"," X "
"208016","   ","  "," 266.162","         ","  266.162","  429.33","  429.33","  493.73","  472.26","  450.80","  429.33","        ","       ","WW","   ","   ","   ","  1","Y  ","  429.33","  429.33","  429.33","  429.33","  429.33"," M "
"208017","   ","  "," 107.780","         ","  107.780","  155.92","  155.92","  179.33","  171.51","  163.74","  155.92","        ","       ","WW","   ","   ","   ","  1","Y  ","  155.92","  155.92","  155.92","  155.92","  155.92"," M "
"208018","   ","D "," 153.260","  117.550","  153.260","  161.40","  161.40","  185.61","  177.54","  169.47","  161.40","        ","       ","WW","   ","   ","   ","  1","Y  ","  161.40","  161.40","  161.40","  161.40","  161.40"," D "
"209001","   ","  "," 202.680","   91.584","  202.680","  280.50","  280.50","  322.58","  308.55","  294.52","  144.02","        ","    8.0","WW","   ","   ","   ","  1","Y  ","  113.45","  113.45","  144.02","  252.45","  130.59"," A "
"209003","   ","  "," 376.707","  143.681","  376.707","  589.95","  589.95","  678.44","  648.95","  619.45","  234.00","        ","   15.0","WW","   ","   ","   ","  1","Y  ","  234.00","  220.66","  223.50","  513.00","  240.43"," A "
"209009","   ","D "," 201.720","   69.120","  201.720","  311.28","  311.28","  357.93","  342.38","  326.71","  311.28","        ","       ","WW","   ","   ","   ","  1","Y  ","  311.28","  311.28","  311.28","  311.28","  116.64"," D "
"209013","   ","  "," 150.421","         ","  150.421","  218.39","  218.39","  251.14","  240.26","  229.33","  218.39","        ","       ","WW","   ","   ","   ","  1","Y  ","  218.39","  218.39","  218.39","  218.39","  218.39"," A "
"209015","   ","  "," 219.361","   89.221","  219.361","  404.40","  404.40","  465.06","  444.84","  424.62","  214.54","        ","       ","WW","   ","   ","   ","  1","Y  ","  214.54","  214.54","  214.54","  373.97","  214.54"," A "
"210025","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   19.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210026","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   22.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210027","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   23.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210028","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   14.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210029","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   20.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210030","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   15.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210031","   ","  "," 313.550","         ","  313.550","  402.00","  402.00","  462.30","  442.20","  422.10","  402.00","        ","   24.0","WW","   ","   ","   ","  1","Y  ","  402.00","  402.00","  402.00","  402.00","  402.00"," A "
"210032","   ","  "," 425.490","         ","  425.490","  546.00","  546.00","  627.90","  600.60","  573.30","  546.00","        ","   20.0","WW","   ","   ","   ","  1","Y  ","  546.00","  546.00","  546.00","  546.00","  546.00"," A "
"210033","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","       ","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210034","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   20.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210035","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   44.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210036","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   15.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210037","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   19.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210038","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   36.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210039","   ","  "," 400.680","         ","  400.680","  513.60","  513.60","  590.64","  564.96","  539.28","  513.60","        ","   27.0","WW","   ","   ","   ","  1","Y  ","  513.60","  513.60","  513.60","  513.60","  513.60"," A "
"210040","   ","  "," 544.420","         ","  544.420","  698.40","  698.40","  803.16","  768.24","  733.32","  698.40","        ","   29.0","WW","   ","   ","   ","  1","Y  ","  698.40","  698.40","  698.40","  698.40","  698.40"," A "
"210041","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210042","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210043","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210044","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210045","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210046","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210047","   ","D "," 438.850","         ","  438.850","  562.50","  562.50","  646.88","  618.75","  590.63","  562.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  562.50","  562.50","  562.50","  562.50","  562.50"," D "
"210048","   ","D "," 591.490","         ","  591.490","  756.00","  756.00","  869.40","  831.60","  793.80","  756.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  756.00","  756.00","  756.00","  756.00","  756.00"," D "
"210049","   ","X ","  14.730","         ","   14.730","   17.92","   17.92","   20.62","   19.71","   18.83","   17.92","        ","       ","WW","   ","   ","   ","  1","Y  ","   17.92","   17.92","   17.92","   17.92","   17.92"," X "
"210051","   ","D "," 141.260","         ","  141.260","  207.60","  207.60","  238.74","  228.36","  217.98","  207.60","        ","       ","WW","   ","   ","   ","  1","Y  ","  207.60","  207.60","  207.60","  207.60","  207.60"," D "
"210052","   ","D "," 141.260","         ","  141.260","  207.60","  207.60","  238.74","  228.36","  217.98","  207.60","        ","       ","WW","   ","   ","   ","  1","Y  ","  207.60","  207.60","  207.60","  223.23","  207.60"," D "
