"ITEM  ","DEL","DI","DUTY PD "," DUTY FR ","    COST ","  PR 01 ","  PR 02 ","  PR 03 ","  PR 04 ","  PR 05 ","  PR 06 "," BEEROH ","WINEOH ","UM","B6%","B9%","W6%","W9%","TX?","  PR 07 ","  PR 08 ","  PR 09 ","  PR 10 ","  PR 11 "," ST"
"00443 ","D  ","  ","  33.561","   29.441","   33.561","   53.50","   53.50","   61.53","   58.85","   56.18","   53.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   53.50","   53.50","   53.50","   36.49","   53.50"," D "
"00444 ","   ","  ","  37.686","   32.648","   37.686","   55.37","   55.37","   63.68","   60.91","   58.14","   55.37","        ","       ","CS","  1","   ","   ","   ","Y  ","   55.37","   55.37","   55.37","   36.49","   55.37"," A "
"00445 ","   ","  ","  45.461","   39.567","   45.461","   74.62","   74.62","   85.81","   82.08","   78.35","   74.62","        ","       ","CS","  1","   ","   ","   ","Y  ","   74.62","   74.62","   74.62","   64.89","   74.62"," M "
"00446 ","D  ","  ","  41.477","   36.154","   41.477","   57.50","   57.50","   66.13","   63.25","   60.38","   57.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   57.50","   57.50","   57.50","   38.27","   57.50"," D "
"00447 ","D  ","  ","  28.830","   27.350","   28.830","   44.50","   44.50","   51.18","   48.95","   46.73","   44.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   44.50","   44.50","   44.50","   38.27","   44.50"," D "
"00448 ","   ","  ","  43.803","   38.571","   43.803","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00449 ","D  ","  ","  32.923","   28.744","   32.923","   55.20","   55.20","   63.48","   60.72","   57.96","   55.20","        ","       ","CS","  1","   ","   ","   ","Y  ","   55.20","   55.20","   55.20","   38.27","   55.20"," D "
"00450 ","   ","  ","  45.291","   39.403","   45.291","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00451 ","   ","  ","  44.516","   38.626","   44.516","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00452 ","   ","  ","  44.514","   38.626","   44.514","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00453 ","D  ","  ","  47.916","   41.753","   47.916","   57.50","   57.50","   66.13","   63.25","   60.38","   57.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   57.50","   57.50","   57.50","   38.27","   57.50"," D "
"00454 ","D  ","  ","  30.044","   28.534","   30.044","   44.50","   44.50","   51.18","   48.95","   46.73","   44.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   44.50","   44.50","   44.50","   38.27","   44.50"," D "
"00455 ","   ","  ","  44.516","   38.626","   44.516","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00456 ","   ","  ","  44.698","   39.350","   44.698","   62.50","   62.50","   71.88","   68.75","   65.62","   62.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   62.50","   62.50","   62.50","   56.25","   62.50"," A "
"00457 ","   ","  ","  45.292","   39.403","   45.292","   65.00","   65.00","   74.75","   71.50","   68.25","   65.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   65.00","   65.00","   65.00","   58.50","   65.00"," A "
"00458 ","D  ","  ","  48.300","   42.262","   48.300","   57.50","   57.50","   66.13","   63.25","   60.38","   57.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   57.50","   57.50","   57.50","   38.27","   57.50"," D "
"00459 ","X  ","  ","  59.210","         ","   59.210","   93.00","   93.00","  106.94","  102.30","   97.65","   93.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   93.00","   93.00","   93.00","   92.56","   93.00"," X "
"00460 ","   ","  "," 103.322","   89.889","  103.322","  135.00","  135.00","  155.25","  148.50","  141.75","  135.00","    4.00","       ","CS","  1","   ","   ","   ","Y  ","  135.00","  135.00","  135.00","  121.50","  135.00"," A "
"00461 ","   ","  "," 103.304","   89.873","  103.304","  135.00","  135.00","  155.25","  148.50","  141.75","  135.00","    5.00","       ","CS","  1","   ","   ","   ","Y  ","  135.00","  135.00","  135.00","  121.50","  135.00"," A "
"00462 ","D  ","  ","  72.589","   63.375","   72.589","  104.95","  104.95","  120.69","  115.45","  110.20","  104.95","        ","       ","CS","  1","   ","   ","   ","Y  ","  104.95","  104.95","  104.95","   92.56","  104.95"," D "
"00463 ","D  ","  ","  92.301","   80.969","   92.301","  115.00","  115.00","  132.25","  126.50","  120.75","  115.00","        ","       ","CS","  1","   ","   ","   ","Y  ","  115.00","  115.00","  115.00","  103.50","  115.00"," D "
"00464 ","D  ","  ","  68.168","   59.259","   68.168","  104.95","  104.95","  120.69","  115.45","  110.20","  104.95","        ","       ","CS","  1","   ","   ","   ","Y  ","  104.95","  104.95","  104.95","   92.56","  104.95"," D "
"00466 ","D  ","  ","  27.670","         ","   27.670","   47.85","   47.85","   55.03","   52.64","   50.24","   47.85","        ","       ","CS","  1","   ","   ","   ","Y  ","   47.85","   47.85","   47.85","   38.27","   47.85"," D "
"00467 ","D  ","  ","  27.210","         ","   27.210","   42.87","   42.87","   49.31","   47.16","   45.02","   42.87","        ","       ","CS","  1","   ","   ","   ","Y  ","   42.87","   42.87","   42.87","   38.27","   42.87"," D "
"00468 ","X  ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","CS","   ","   ","   ","   ","Y  ","        ","        ","        ","   38.27","        "," X "
"00469 ","   ","  ","  19.781","   18.008","   19.781","   35.75","   35.75","   41.11","   39.33","   37.54","   35.75","        ","       ","CS","  1","   ","   ","   ","Y  ","   35.75","   35.75","   35.75","   34.60","   35.75"," A "
"00470 ","   ","  ","  20.468","   18.702","   20.468","   38.50","   38.50","   44.28","   42.35","   40.42","   38.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   38.50","   38.50","   38.50","   34.65","   38.50"," A "
"00471 ","   ","  ","  19.970","   18.204","   19.970","   38.50","   38.50","   44.28","   42.35","   40.42","   38.50","    6.00","       ","CS","  1","   ","   ","   ","Y  ","   38.50","   38.50","   38.50","   34.65","   38.50"," A "
"00472 ","   ","  ","  37.390","   36.380","   37.390","   52.95","   52.95","   60.89","   58.25","   55.60","   52.95","    7.00","       ","CS","  1","   ","   ","   ","Y  ","   52.95","   52.95","   52.95","   47.50","   52.95"," A "
"00473 ","   ","  ","  37.390","   36.380","   37.390","   52.95","   52.95","   60.89","   58.25","   55.60","   52.95","   10.00","       ","CS","  1","   ","   ","   ","Y  ","   52.95","   52.95","   52.95","   47.50","   52.95"," A "
"00474 ","   ","  ","  37.376","   36.366","   37.376","   52.95","   52.95","   60.89","   58.25","   55.60","   52.95","    8.00","       ","CS","  1","   ","   ","   ","Y  ","   52.95","   52.95","   52.95","   47.50","   52.95"," A "
"00483 ","X  ","  ","  29.420","         ","   29.420","   48.30","   48.30","   55.55","   53.13","   50.72","   48.30","        ","       ","CS","  1","   ","   ","   ","Y  ","   48.30","   48.30","   48.30","   48.30","   48.30"," X "
"00484 ","D  ","  ","  30.044","   28.144","   30.044","   48.30","   48.30","   55.55","   53.13","   50.72","   48.30","        ","       ","CS","  1","   ","   ","   ","Y  ","   48.30","   48.30","   48.30","   48.30","   48.30"," D "
"00485 ","D  ","  ","  17.983","   16.373","   17.983","   35.75","   35.75","   41.11","   39.33","   37.54","   35.75","        ","       ","CS","  1","   ","   ","   ","Y  ","   35.75","   35.75","   35.75","   35.75","   35.75"," D "
"00486 ","   ","  ","  19.053","   17.443","   19.053","   35.75","   35.75","   41.11","   39.33","   37.54","   35.75","        ","       ","CS","  1","   ","   ","   ","Y  ","   35.75","   35.75","   35.75","   35.75","   35.75"," A "
"00488 ","X  ","  ","  32.990","         ","   32.990","   51.18","   51.18","   58.86","   56.30","   53.74","   51.18","        ","       ","CS","  1","   ","   ","   ","Y  ","   51.18","   51.18","   51.18","   51.18","   51.18"," X "
"00489 ","D  ","  ","  13.160","         ","   13.160","   20.90","   20.90","   24.04","   22.99","   21.95","   20.90","        ","       ","CS","   ","  1","   ","   ","Y  ","   20.90","   20.90","   20.90","   20.90","   20.90"," D "
"00490 ","D  ","  ","  13.160","         ","   13.160","   20.90","   20.90","   24.04","   22.99","   21.95","   20.90","        ","       ","CS","   ","  1","   ","   ","Y  ","   20.90","   20.90","   20.90","   20.90","   20.90"," D "
"00492 ","X  ","  ","  65.240","   63.680","   65.240","   48.95","   48.95","   56.29","   53.85","   51.40","   90.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   90.00","   90.00","   90.00","   90.00","   90.00"," X "
"00493 ","   ","  ","  33.304","   31.133","   33.304","   48.95","   48.95","   56.29","   53.85","   51.40","   97.90","        ","       ","CS","  1","   ","   ","   ","Y  ","   97.90","   97.90","   97.90","   97.90","   97.90"," M "
"00494 ","   ","  ","  33.304","   31.133","   33.304","   48.95","   48.95","   56.29","   53.85","   51.40","   97.90","        ","       ","CS","  1","   ","   ","   ","Y  ","   97.90","   97.90","   97.90","   97.90","   97.90"," M "
"00495 ","D  ","  ","  32.687","   30.492","   32.687","   48.95","   48.95","   56.29","   53.85","   51.40","   97.90","        ","       ","CS","  1","   ","   ","   ","Y  ","   97.90","   97.90","   97.90","   97.90","   97.90"," D "
"00496 ","D  ","  ","   8.600","         ","    8.600","   12.30","   12.30","   14.15","   13.53","   12.92","   12.30","        ","       ","CS","  1","   ","   ","   ","Y  ","   12.30","   12.30","   12.30","   12.30","   12.30"," D "
"00497 ","D  ","  ","   8.600","         ","    8.600","   12.30","   12.30","   14.15","   13.53","   12.92","   12.30","        ","       ","CS","  1","   ","   ","   ","Y  ","   12.30","   12.30","   12.30","   12.30","   12.30"," D "
"00498 ","D  ","  ","  11.470","         ","   11.470","   16.40","   16.40","   18.86","   18.04","   17.22","   16.40","        ","       ","CS","  1","   ","   ","   ","Y  ","   16.40","   16.40","   16.40","   16.40","   16.40"," D "
"00499 ","D  ","  ","  11.470","         ","   11.470","   16.40","   16.40","   18.86","   18.04","   17.22","   16.40","        ","       ","CS","  1","   ","   ","   ","Y  ","   16.40","   16.40","   16.40","   16.40","   16.40"," D "
"00500 ","X  ","  ","  11.470","         ","   11.470","   16.40","   16.40","   18.86","   18.04","   17.22","   16.40","        ","       ","CS","  1","   ","   ","   ","Y  ","   16.40","   16.40","   16.40","   16.40","   16.40"," X "
"00501 ","X  ","  ","  11.470","         ","   11.470","   16.40","   16.40","   18.86","   18.04","   17.22","   16.40","        ","       ","CS","  1","   ","   ","   ","Y  ","   16.40","   16.40","   16.40","   16.40","   16.40"," X "
"00502 ","D  ","  ","  23.970","         ","   23.970","   36.95","   36.95","   42.49","   40.65","   38.80","   36.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   36.95","   36.95","   36.95","   36.95","   36.95"," D "
"00503 ","D  ","  ","  23.970","         ","   23.970","   36.95","   36.95","   42.49","   40.65","   38.80","   36.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   36.95","   36.95","   36.95","   36.95","   36.95"," D "
"00504 ","D  ","  ","  23.970","         ","   23.970","   36.95","   36.95","   42.49","   40.65","   38.80","   36.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   36.95","   36.95","   36.95","   36.95","   36.95"," D "
"00505 ","D  ","  ","  23.970","         ","   23.970","   36.95","   36.95","   42.49","   40.65","   38.80","   36.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   36.95","   36.95","   36.95","   36.95","   36.95"," D "
"00506 ","D  ","  ","  63.720","   62.160","   63.720","   48.95","   48.95","   56.29","   53.85","   51.40","   97.90","        ","       ","CS","  1","   ","   ","   ","Y  ","   97.90","   97.90","   97.90","   97.90","   97.90"," D "
"00507 ","D  ","  ","  17.580","   17.100","   17.580","   27.20","   27.20","   31.28","   29.92","   28.56","   27.20","        ","       ","CS","  1","   ","   ","   ","Y  ","   27.20","   27.20","   27.20","   27.20","   27.20"," D "
"00508 ","D  ","  ","  17.580","   17.100","   17.580","   27.20","   27.20","   31.28","   29.92","   28.56","   27.20","        ","       ","CS","  1","   ","   ","   ","Y  ","   27.20","   27.20","   27.20","   27.20","   27.20"," D "
"00509 ","D  ","  ","  17.580","   17.100","   17.580","   27.20","   27.20","   31.28","   29.92","   28.56","   27.20","        ","       ","CS","  1","   ","   ","   ","Y  ","   27.20","   27.20","   27.20","   27.20","   27.20"," D "
"00510 ","D  ","  ","  17.580","   17.100","   17.580","   27.20","   27.20","   31.28","   29.92","   28.56","   27.20","        ","       ","CS","  1","   ","   ","   ","Y  ","   27.20","   27.20","   27.20","   27.20","   27.20"," D "
"00511 ","D  ","  ","  22.197","   19.852","   22.197","   32.55","   32.55","   37.43","   35.81","   34.18","   32.55","        ","       ","CS","  1","   ","   ","   ","Y  ","   32.55","   32.55","   32.55","   32.55","   32.55"," D "
"00512 ","D  ","  ","  22.027","   20.352","   22.027","   32.55","   32.55","   37.43","   35.81","   34.18","   32.55","        ","       ","CS","  1","   ","   ","   ","Y  ","   32.55","   32.55","   32.55","   32.55","   32.55"," D "
"00513 ","D  ","  ","  14.914","   13.594","   14.914","   23.80","   23.80","   27.37","   26.18","   24.99","   23.80","        ","       ","CS","  1","   ","   ","   ","Y  ","   23.80","   23.80","   23.80","   19.75","   23.80"," D "
"00514 ","   ","  ","  15.349","   13.977","   15.349","   23.80","   23.80","   27.37","   26.18","   24.99","   23.80","        ","       ","CS","  1","   ","   ","   ","Y  ","   23.80","   23.80","   23.80","   19.75","   23.80"," M "
"00515 ","D  ","  ","  15.613","   14.269","   15.613","   23.80","   23.80","   27.37","   26.18","   24.99","   23.80","        ","       ","CS","  1","   ","   ","   ","Y  ","   23.80","   23.80","   23.80","   19.75","   23.80"," D "
"00516 ","   ","  ","  15.349","   13.977","   15.349","   23.80","   23.80","   27.37","   26.18","   24.99","   23.80","        ","       ","CS","  1","   ","   ","   ","Y  ","   23.80","   23.80","   23.80","   19.75","   23.80"," M "
"00517 ","D  ","  ","  14.914","   13.594","   14.914","   23.80","   23.80","   27.37","   26.18","   24.99","   23.80","        ","       ","CS","  1","   ","   ","   ","Y  ","   23.80","   23.80","   23.80","   19.75","   23.80"," D "
"00518 ","   ","  ","  32.661","   30.473","   32.661","   48.95","   48.95","   56.29","   53.85","   51.40","   48.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   48.95","   48.95","   48.95","   48.95","   48.95"," M "
"00519 ","X  ","  ","  28.138","   26.576","   28.138","   39.05","   39.05","   44.91","   42.96","   41.00","   39.05","        ","       ","CS","   ","  1","   ","   ","Y  ","   39.05","   39.05","   39.05","   39.05","   39.05"," X "
"00520 ","   ","  ","  28.138","   26.576","   28.138","   39.05","   39.05","   44.91","   42.96","   41.00","   39.05","        ","       ","CS","   ","  1","   ","   ","Y  ","   39.05","   39.05","   39.05","   39.05","   39.05"," D "
"00521 ","D  ","  ","  32.980","   30.850","   32.980","   48.95","   48.95","   56.29","   53.85","   51.40","   48.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   48.95","   48.95","   48.95","   48.95","   48.95"," D "
"00522 ","D  ","  ","  14.270","   12.992","   14.270","   19.75","   19.75","   22.71","   21.73","   20.74","   19.75","        ","       ","CS","  1","   ","   ","   ","Y  ","   19.75","   19.75","   19.75","   19.75","   19.75"," D "
"00523 ","D  ","  ","  26.000","         ","   26.000","   34.70","   34.70","   39.91","   34.70","   34.70","   34.70","        ","       ","CS","   ","  1","   ","   ","Y  ","   34.70","   34.70","   34.70","   34.70","   34.70"," D "
"00525 ","D  ","  ","   6.500","         ","    6.500","    8.70","    8.70","   10.01","    8.70","    8.70","    8.70","        ","       ","CS","   ","  1","   ","   ","Y  ","    8.70","    8.70","    8.70","    8.70","    8.70"," D "
"00526 ","X  ","  ","   6.500","         ","    6.500","    8.70","    8.70","   10.01","    8.70","    8.70","    8.70","        ","       ","CS","   ","  1","   ","   ","Y  ","    8.70","    8.70","    8.70","    8.70","    8.70"," X "
"00527 ","   ","  ","  34.959","         ","         ","   53.95","   53.95","   62.04","   59.35","   56.65","   53.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   53.95","   53.95","   53.95","   53.95","   53.95"," A "
"00529 ","D  ","  ","  34.959","         ","         ","   53.95","   53.95","   62.04","   59.35","   56.65","   53.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   53.95","   53.95","   53.95","   53.95","   53.95"," D "
"00530 ","D  ","  ","  34.959","         ","         ","   53.95","   53.95","   62.04","   59.35","   56.65","   53.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   53.95","   53.95","   53.95","   53.95","   53.95"," D "
"00531 ","D  ","  ","  34.959","         ","         ","   53.95","   53.95","   62.04","   59.35","   56.65","   53.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   53.95","   53.95","   53.95","   53.95","   53.95"," D "
