"WHSE  ","ITEM   ","DESCRIPT                           ","U/C","   COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  ","   COST99 "
"11010 ","00576  ","SUNQUICKORANGE 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11020 ","00576  ","SUNQUICKORANGE 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00576  ","SUNQUICKORANGE 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00577  ","SUNQUICKTROPIC 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11020 ","00577  ","SUNQUICKTROPIC 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11060 ","00577  ","SUNQUICKTROPIC 6/1L                ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00578  ","SQ ZERO ORANGE 6/700               ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00579  ","SQ ZERO TROPIC 6/700               ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00603  ","SPA 24/500                         "," 24","   11.400 ","     .120 ","    6.010 ","     .460 ","    1.200 ","    1.010 ","     .910 ","     .090 ","     .140 ","     .070 ","    21.410 ","   35.000 "
"11020 ","00603  ","SPA 24/500                         "," 24","   11.400 ","     .120 ","    6.010 ","     .460 ","    1.200 ","    1.010 ","     .910 ","     .090 ","     .140 ","     .070 ","    21.410 ","   35.000 "
"11060 ","00603  ","SPA 24/500                         "," 24","   11.400 ","     .120 ","    6.010 ","     .460 ","          ","          ","          ","     .090 ","     .140 ","     .070 ","    18.290 ","   15.000 "
"11010 ","00604  ","MARRIOT WATER 12/500               "," 12","    5.930 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     5.930 ","   40.000 "
"11020 ","00604  ","MARRIOT WATER 12/500               "," 12","    5.930 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     5.930 ","   40.000 "
"11060 ","00604  ","MARRIOT WATER 12/500               "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00606  ","SPA 12/1.5L                        "," 12","    9.860 ","     .190 ","    8.990 ","     .690 ","    1.800 ","     .870 ","     .780 ","     .120 ","     .200 ","     .110 ","    23.610 ","   40.000 "
"11020 ","00606  ","SPA 12/1.5L                        "," 12","    9.860 ","     .190 ","    8.990 ","     .690 ","    1.800 ","     .870 ","     .780 ","     .120 ","     .200 ","     .110 ","    23.610 ","   40.000 "
"11060 ","00606  ","SPA 12/1.5L                        "," 12","    9.860 ","     .190 ","    8.990 ","     .690 ","          ","          ","          ","     .120 ","     .200 ","     .110 ","    20.160 ","   10.000 "
"11010 ","00607  ","CORENDON WATER 12/500              "," 12","    4.110 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     4.110 ","   25.000 "
