"ITEM   ","DESCRIPT                           ","U/C","    COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  "
"301461 ","GOYA 20/17Z 2591 GOYA CORN ON THE  ","  1","    66.794 ","     .316 ","    5.335 ","     .098 ","    4.472 ","          ","    3.187 ","     .290 ","     .129 ","     .069 ","    80.691 "
"301462 ","GOYA 24/16Z 1246 GOYA CANOLA OIL   ","  1","    67.716 ","     .301 ","    3.603 ","     .030 ","          ","          ","    3.238 ","     .441 ","     .186 ","     .099 ","    75.613 "
"301463 ","GOYA 12/24Z 1248 GOYA CANOLA OIL   ","  1","    47.202 ","     .210 ","    2.511 ","     .021 ","          ","          ","    2.257 ","     .307 ","     .129 ","     .069 ","    52.706 "
"301464 ","GOYA 24/15Z 2002 GREEN PIGEON PEAS ","  1","    48.382 ","     .174 ","    3.821 ","     .033 ","    4.883 ","    5.482 ","    2.349 ","     .354 ","     .184 ","     .104 ","    65.767 "
"301465 ","GOYA 24/12Z 3381 LUNCHEON MEAT     ","  1","   115.195 ","     .580 ","    7.765 ","     .116 ","   12.919 ","          ","    5.537 ","     .835 ","     .371 ","     .198 ","   143.515 "
"301466 ","GOYA 24/7Z  3382 LUNCHEON MEAT     ","  1","    66.719 ","     .296 ","    3.550 ","     .030 ","    7.417 ","          ","    3.190 ","     .478 ","     .183 ","     .098 ","    81.961 "
"301467 ","GOYA 12/29Z 2429 BLACK EYE PEAS    ","  1","    34.220 ","          ","    1.418 ","     .024 ","          ","    3.742 ","    1.604 ","     .250 ","     .130 ","     .074 ","    41.461 "
"301468 ","GOYA 24/4OZ 5011 GOYA CHOCOLATE WA "," 24","    30.952 ","     .268 ","    2.999 ","     .054 ","    9.165 ","          ","    1.531 ","     .265 ","     .165 ","     .088 ","    45.486 "
"301470 ","GOYA 24/4OZ 5019 GOYA VANILLA WAFE "," 24","    30.952 ","     .268 ","    2.999 ","     .054 ","    9.165 ","          ","    1.531 ","     .265 ","     .165 ","     .088 ","    45.486 "
"301471 ","GOYA 10/5OZ 3464 BONITOS VEG MEDIT "," 10","    26.686 ","     .231 ","    2.586 ","     .046 ","    3.073 ","          ","    1.320 ","     .200 ","     .142 ","     .076 ","    34.360 "
"301472 ","GOYA 12/7OZ 2679 YELLOW RICE & COR "," 12","    31.678 ","     .274 ","    3.070 ","     .055 ","          ","          ","          ","     .206 ","     .169 ","     .090 ","    35.542 "
"301473 ","GOYA 12/15Z 3714 NACHO CHEESE ZEST "," 12","    42.661 ","     .369 ","    4.134 ","     .074 ","    4.913 ","          ","    2.110 ","     .319 ","     .228 ","     .122 ","    54.929 "
"301474 ","GOYA 24/6OZ 2644 GOYA INSTANT MEXI "," 24","    66.714 ","     .577 ","    6.465 ","     .115 ","          ","          ","          ","     .435 ","     .356 ","     .190 ","    74.853 "
"301475 ","GOYA 12/11Z 2851 GOYA JALAPENO PEP "," 12","    19.243 ","     .166 ","    1.865 ","     .033 ","    2.216 ","          ","     .952 ","     .144 ","     .103 ","     .055 ","    24.776 "
"301476 ","GOYA 12/17Z 2890 GOYA MEXICAN TACO "," 12","    36.670 ","     .317 ","    3.554 ","     .063 ","    4.223 ","          ","    1.813 ","     .274 ","     .196 ","     .105 ","    47.215 "
"301477 ","GOYA 12/16Z 2902 REFRIED BEANS CHI "," 12","    26.686 ","     .231 ","    2.586 ","     .046 ","    3.073 ","          ","    1.320 ","     .200 ","     .142 ","     .076 ","    34.360 "
"301478 ","GOYA 36/3OZ 3184 GOYA CUSTARD (EAC "," 36","    43.387 ","     .375 ","    4.205 ","     .075 ","    8.089 ","          ","    2.146 ","     .343 ","     .232 ","     .124 ","    58.975 "
"301479 ","GOYA 36/3OZ 3179 CORN PUDDING (MAJ "," 36","    36.670 ","     .317 ","    3.554 ","     .063 ","    6.837 ","          ","    1.813 ","     .290 ","     .196 ","     .105 ","    49.845 "
"301483 ","GOYA 1/3.7  1307 MANZANILLA OLIVES ","  1","     1.978 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     1.978 "
"301484 ","GOYA 1/2.2Z 1370 SPANISH CAPERS NO ","  1","     3.127 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     3.127 "
"301486 ","GOYA 1/3OZ  1103 EXTRA VIRGIN OLIV ","  1","     2.768 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     2.768 "
"301489 ","GOYA 1/14OZ 3599 GOYA BLACK PAELLA ","  1","    11.225 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    11.225 "
"301490 ","GOYA 1/6OZ  2674 QUINOA BLEND BEAN ","  1","     4.328 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","     4.328 "
"301491 ","GOYA 10/35Z 5073 GOYA YELLOW CORN  ","  1","    33.314 ","     .150 ","    1.918 ","     .030 ","          ","          ","          ","     .208 ","     .093 ","     .049 ","    35.762 "
"301492 ","GOYA 10/35Z 5074 GOYA WHITE CORN M ","  1","    33.314 ","     .150 ","    1.918 ","     .030 ","          ","          ","          ","     .208 ","     .093 ","     .049 ","    35.762 "
"301493 ","GOYA 24/1LB 2475 GOYA WHOLE GREEN  ","  1","    31.680 ","     .180 ","    2.502 ","     .022 ","          ","          ","          ","     .201 ","     .120 ","     .068 ","    34.774 "
"301494 ","GOYA 12/11Z 2851 JALAPENO PEPPERS  ","  1","    23.329 ","          ","    2.165 ","     .018 ","          ","    2.700 ","    1.160 ","     .173 ","     .104 ","     .059 ","    29.708 "
"301497 ","GOYA 12/8OZ 2885 JALAPENO SAUCE    ","  1","    35.947 ","          ","    3.335 ","     .028 ","          ","    4.126 ","    1.768 ","     .266 ","     .161 ","     .091 ","    45.721 "
"301498 ","GOYA 12/8OZ 2888 HOT JALAPENO SAUC ","  1","    35.947 ","          ","    3.335 ","     .028 ","          ","    4.126 ","    1.768 ","     .266 ","     .161 ","     .091 ","    45.721 "
"301499 ","GOYA 12/17Z 2889 MEDIUM GREEN SAUC ","  1","    44.298 ","          ","    4.110 ","     .034 ","          ","    5.084 ","    2.179 ","     .328 ","     .198 ","     .112 ","    56.342 "
"301500 ","GOYA 12/17Z 2891 PICO DE GALLO SAU ","  1","    46.749 ","          ","    4.337 ","     .036 ","          ","    5.365 ","    2.299 ","     .346 ","     .209 ","     .118 ","    59.460 "
"309001 ","GOYA 12/42Z 2764 ORANGE JUICE      ","  1","    58.365 ","          ","    2.418 ","     .040 ","          ","    3.343 ","    2.735 ","     .408 ","     .222 ","     .126 ","    67.657 "
"309003 ","GOYA 12/42Z 2782 PINEAPPLE JUICE   ","  1","    61.727 ","          ","    3.548 ","     .047 ","          ","    3.710 ","    3.036 ","     .437 ","     .276 ","     .156 ","    72.937 "
"309004 ","GOYA 24/12Z 2785 COCONUT WATER     ","  1","    43.025 ","          ","    1.782 ","     .017 ","          ","    2.465 ","    2.016 ","     .370 ","     .120 ","     .070 ","    49.865 "
"309005 ","GOYA 24/12Z 2786 COCONUT WATER NO  ","  1","    35.130 ","          ","    1.540 ","          ","    2.010 ","          ","          ","     .249 ","     .122 ","     .066 ","    39.117 "
"309009 ","GOYA 12/42Z 2796 TROPICAL FRUIT PU ","  1","    46.750 ","          ","    2.055 ","     .036 ","          ","    2.686 ","    2.197 ","     .331 ","     .209 ","     .118 ","    54.381 "
"309012 ","GOYA 12/32Z 3057 TROPICAL LEMON JU ","  1","    58.365 ","          ","    2.418 ","     .049 ","          ","    3.343 ","    2.735 ","     .370 ","     .110 ","     .070 ","    67.460 "
"309013 ","GOYA 24/8.5 3139 LEMON JUICE       ","  1","    37.578 ","          ","    2.863 ","     .010 ","          ","    2.225 ","    1.820 ","     .240 ","     .070 ","     .050 ","    44.856 "
"309014 ","GOYA 12/32Z 3069 TROPICAL LIME JUI ","  1","    56.005 ","          ","    4.267 ","     .020 ","          ","    3.315 ","    2.712 ","     .370 ","     .110 ","     .070 ","    66.869 "
"309015 ","GOYA 24/8Z  3182 TROPICAL LIME JUI ","  1","    35.039 ","          ","    2.948 ","     .034 ","          ","    2.090 ","    1.710 ","     .246 ","     .089 ","     .056 ","    42.212 "
"309016 ","GOYA 24/17Z 2787 COCONUT WATER     ","  1","    55.551 ","          ","    2.301 ","     .051 ","          ","    3.182 ","    2.603 ","     .393 ","     .248 ","     .140 ","    64.470 "
"309024 ","GOYA 12/2OZ 1373 GOYA CAPOTES CAPE ","  1","    18.972 ","          ","    1.026 ","     .157 ","          ","    2.100 ","     .900 ","     .136 ","     .039 ","     .022 ","    23.351 "
"309025 ","GOYA 12/9OZ 1419 GOYA PITTED OLIVE ","  1","    35.039 ","          ","    1.895 ","     .289 ","          ","    3.878 ","    1.662 ","     .252 ","     .071 ","     .040 ","    43.127 "
"309026 ","GOYA 12/2OZ 1367 GOYA NONPAREILS C ","  1","    22.784 ","          ","    1.232 ","     .188 ","          ","    2.522 ","    1.081 ","     .164 ","     .046 ","     .026 ","    28.044 "
"309027 ","GOYA 12/2OZ 1368 GOYA CAPOTES CAPE ","  1","    18.972 ","          ","    1.026 ","     .157 ","          ","    2.100 ","     .900 ","     .136 ","     .039 ","     .022 ","    23.351 "
"309028 ","GOYA 24/5OZ 1460 GOYA SLICED GREEN ","  1","    51.378 ","          ","    2.779 ","     .424 ","          ","    5.687 ","    2.437 ","     .369 ","     .105 ","     .059 ","    63.238 "
"309029 ","GOYA 24/6OZ 1510 GOYA MANZANILLA O ","  1","    53.012 ","          ","    2.867 ","     .438 ","          ","    5.867 ","    2.515 ","     .381 ","     .108 ","     .061 ","    65.249 "
"309030 ","GOYA 24/6OZ 1511 GOYA MANZANILLA O ","  1","    88.505 ","     .395 ","    5.236 ","     .039 ","    9.853 ","          ","    4.223 ","     .637 ","     .219 ","     .117 ","   109.224 "
"309031 ","GOYA 24/7OZ 1512 GOYA CAPERS PITTE ","  1","    54.192 ","          ","    2.931 ","     .448 ","          ","    5.998 ","    2.571 ","     .389 ","     .110 ","     .063 ","    66.701 "
"309032 ","GOYA 24/7OZ 1513 GOYA SALAD OLIVES ","  1","    55.372 ","          ","    2.995 ","     .457 ","          ","    6.129 ","    2.627 ","     .398 ","     .113 ","     .064 ","    68.154 "
"309033 ","GOYA 24/1LB 2474 GOYA BLACKEYE PEA ","  1","    50.014 ","          ","    2.072 ","     .046 ","          ","          ","          ","     .313 ","     .145 ","     .077 ","    52.667 "
"309034 ","GOYA 24/1LB 2476 GOYA LENTILS      ","  1","    48.380 ","          ","    2.004 ","     .044 ","          ","          ","          ","     .305 ","     .091 ","     .083 ","    50.908 "
"309035 ","GOYA 50/5OZ 3615 GOYA TINAPA SARDI ","  1","    40.020 ","          ","    2.450 ","     .060 ","    4.440 ","          ","          ","     .340 ","     .170 ","     .090 ","    47.570 "
"309036 ","GOYA 50/5OZ 3617 GOYA TINAPA SARDI ","  1","    40.040 ","          ","    2.450 ","     .060 ","    4.440 ","          ","          ","     .340 ","     .170 ","     .060 ","    47.560 "
"309037 ","GOYA 24/15Z 3621 GOYA JACK MACKERE ","  1","    59.365 ","     .281 ","    3.492 ","     .056 ","    6.593 ","          ","    2.825 ","     .427 ","     .173 ","     .093 ","    73.305 "
"309038 ","GOYA 24/15Z 3631 GOYA JACK MACKERE ","  1","    63.450 ","     .282 ","    3.376 ","     .028 ","    7.054 ","          ","    3.034 ","     .454 ","     .174 ","     .093 ","    77.945 "
"309039 ","GOYA 12/11Z 3802 GOYA COMPLETE SEA ","  1","    53.104 ","          ","    2.334 ","     .041 ","          ","    5.821 ","    2.495 ","     .393 ","     .237 ","     .134 ","    64.559 "
"309040 ","GOYA 12/28Z 3843 GOYA ADOBO W/O PE ","  1","    42.570 ","     .240 ","    1.770 ","     .050 ","    4.660 ","          ","          ","     .350 ","     .150 ","     .080 ","    49.870 "
"309041 ","GOYA 4/1G   3938 GOYA WHITE VINEGA ","  1","    35.947 ","          ","    1.580 ","     .033 ","          ","    3.945 ","    1.690 ","     .266 ","     .161 ","     .091 ","    43.712 "
"309042 ","GOYA 24/1LB 2471 GOYA RED KIDNEY B ","  1","    48.380 ","          ","    2.004 ","     .044 ","          ","          ","          ","     .300 ","     .100 ","     .060 ","    50.888 "
"309043 ","GOYA 24/1LB 2479 GOYA BLACK BEANS  ","  1","    46.746 ","          ","    1.937 ","     .024 ","          ","          ","          ","     .295 ","     .127 ","     .080 ","    49.209 "
"309048 ","GOYA 24/16Z 2779 COCONUT WATER 100 ","  1","    60.544 ","          ","    3.780 ","     .055 ","          ","    3.538 ","    2.978 ","     .429 ","     .270 ","     .153 ","    71.748 "
"309049 ","GOYA 12/33Z 2802 PRISMA NECTAR PIN ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309050 ","GOYA 12/33Z 2804 PRISMA NECTAR PAS ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309051 ","GOYA 12/33Z 2806 PRISMA NECTAR PEA ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309052 ","GOYA 12/33Z 2807 PRISMA NECTAR PEA ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309053 ","GOYA 12/33Z 2808 PRISMA NECTAR GUA ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309054 ","GOYA 12/33Z 2809 PRISMA NECTAR MAN ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309058 ","GOYA 24/9OZ 2720 DIET NECTAR TAMAR ","  1","    18.380 ","     .130 ","     .720 ","          ","    2.020 ","          ","          ","     .160 ","     .070 ","     .040 ","    21.520 "
"309059 ","GOYA 24/9OZ 2721 FRUIT NECTAR PEAR ","  1","    18.380 ","     .130 ","     .720 ","          ","    2.020 ","          ","          ","     .160 ","     .070 ","     .040 ","    21.520 "
"309060 ","GOYA 24/9OZ 2722 FRUIT NECTAR PEAC ","  1","    18.380 ","     .130 ","     .720 ","          ","    2.020 ","          ","          ","     .160 ","     .070 ","     .040 ","    21.520 "
"309065 ","GOYA 24/9OZ 2735 NECTAR PASSION FR ","  1","    25.030 ","     .180 ","     .980 ","          ","    2.020 ","          ","          ","     .220 ","     .100 ","     .050 ","    28.580 "
"309066 ","GOYA 24/9OZ 2736 NECTAR PEAR/PASSI ","  1","    23.390 ","     .170 ","     .920 ","          ","    2.020 ","          ","          ","     .200 ","     .090 ","     .050 ","    26.840 "
"309070 ","GOYA 24/9OZ 2743 FRUIT NECTAR SOUR ","  1","    23.330 ","     .130 ","     .970 ","     .030 ","    1.340 ","          ","          ","     .180 ","     .080 ","     .040 ","    26.100 "
"309072 ","GOYA 24/9OZ 2745 FRUIT NECTAR GUAV ","  1","    18.330 ","     .100 ","     .760 ","     .020 ","    1.050 ","          ","          ","     .160 ","     .070 ","     .040 ","    20.530 "
"309073 ","GOYA 24/9OZ 2746 FRUIT NECTAR MANG ","  1","    18.330 ","     .100 ","     .760 ","     .020 ","    1.050 ","          ","          ","     .160 ","     .070 ","     .040 ","    20.530 "
"309074 ","GOYA 12/42Z 2749 FRUIT NECTAR GUAV ","  1","    24.962 ","     .118 ","    1.468 ","     .024 ","    1.452 ","          ","    1.188 ","     .172 ","     .073 ","     .039 ","    29.496 "
"309080 ","GOYA 24/9OZ 2783 PINEAPPLE JUICE 9 ","  1","    20.020 ","     .140 ","     .790 ","          ","    2.020 ","          ","          ","     .180 ","     .080 ","     .040 ","    23.270 "
"309081 ","GOYA 24/9OZ 2795 TROPICAL FRUIT PU ","  1","    18.380 ","     .130 ","     .720 ","          ","    2.020 ","          ","          ","     .160 ","     .070 ","     .040 ","    21.520 "
"309082 ","GOYA 12/33Z 2800 NECTAR TAMARIND 3 ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309083 ","GOYA 24/12Z 2785 COCONUT WATER (EA ","  1","     1.320 ","          ","     .110 ","          ","     .080 ","          ","     .060 ","     .010 ","     .010 ","          ","     1.590 "
"309084 ","GOYA 12/33Z 2778 COCONUT WATER 100 ","  1","    58.909 ","          ","    2.440 ","     .054 ","          ","    3.374 ","    2.761 ","     .417 ","     .263 ","     .149 ","    68.368 "
"309085 ","GOYA 24/11Z 2788 COCONUT WATER 100 ","  1","    44.295 ","          ","    1.835 ","     .040 ","          ","    2.537 ","    2.076 ","     .302 ","     .149 ","     .080 ","    51.314 "
"309086 ","RENDEZ-VOUS 12/750 EC RENDEZVOUS A "," 12","    20.500 ","          ","    6.960 ","     .880 ","     .900 ","          ","    1.240 ","     .170 ","     .250 ","     .140 ","    31.040 "
"309087 ","RENDEZ-VOUS 12/750 EC RENDEZVOUS W "," 12","    20.500 ","          ","    6.960 ","     .880 ","     .900 ","          ","    1.240 ","     .180 ","     .250 ","     .140 ","    31.050 "
"309088 ","RENDEZ-VOUS 12/750 EC RENDEZVOUS C "," 12","    20.500 ","          ","    6.960 ","     .880 ","     .900 ","          ","    1.240 ","     .180 ","     .250 ","     .140 ","    31.050 "
"309089 ","RENDEZ-VOUS 12/750 EC RENDEZVOUS C "," 12","    20.500 ","          ","    6.960 ","     .880 ","     .900 ","          ","    1.240 ","     .180 ","     .250 ","     .140 ","    31.050 "
"309090 ","BEL NORMANDE 12/750 EC BEL NORMAND "," 12","    33.290 ","          ","   11.300 ","    1.430 ","     .900 ","          ","    2.010 ","     .290 ","     .410 ","     .220 ","    49.850 "
"309091 ","BEL NORMANDE 12/750 EC BEL NORMAND "," 12","    34.480 ","          ","   11.010 ","     .970 ","     .900 ","          ","          ","     .280 ","     .280 ","     .150 ","    48.070 "
"309092 ","BEL NORMANDE 12/750 EC BEL NORMAND "," 12","    33.290 ","          ","   11.300 ","    1.430 ","     .900 ","          ","    2.010 ","     .290 ","     .410 ","     .220 ","    49.850 "
"309093 ","BEL NORMANDE 6/1500 EC BELNORMANDE ","  6","    34.560 ","          ","   16.190 ","    2.320 ","     .900 ","          ","          ","     .380 ","     .380 ","     .200 ","    54.930 "
"309094 ","GOYA 12/42Z 2747 TAMARIND  NECTAR  ","  1","    24.963 ","     .146 ","    1.810 ","     .029 ","    1.473 ","          ","    1.205 ","     .174 ","     .090 ","     .048 ","    29.938 "
"309095 ","GOYA 12/42Z 2727 GOYA PINEAPPLE/GU ","  1","    30.040 ","          ","    1.800 ","     .020 ","    1.750 ","          ","          ","     .200 ","     .100 ","     .050 ","    33.960 "
"309096 ","GOYA 5/6OZ  2791 GOYA COCONUT WATE ","  1","    37.580 ","     .340 ","    3.050 ","     .070 ","    2.230 ","          ","          ","     .250 ","     .210 ","     .110 ","    43.840 "
"309098 ","GOYA 12/33Z 2820 PRISMA LIGHT MANG ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309099 ","GOYA 12/33Z 2828 PRISMA LIGHT GUAY ","  1","    24.962 ","     .162 ","    1.948 ","     .016 ","    1.487 ","          ","    1.217 ","     .168 ","     .100 ","     .053 ","    30.113 "
"309100 ","GOYA 24/12Z 3691 EVAPORATED MILK   ","  1","    38.397 ","     .173 ","    2.210 ","     .035 ","          ","          ","    1.825 ","     .251 ","     .107 ","     .057 ","    43.054 "
"309101 ","GOYA 24/17Z 2799 GOYA COCONUT WATE ","  1","    42.662 ","     .202 ","    2.509 ","     .040 ","    2.482 ","          ","    2.030 ","     .294 ","     .125 ","     .067 ","    50.410 "
"309102 ","GOYA 12/33Z 2824 PRISMA SOURSOP NE ","  1","    24.963 ","     .146 ","    1.810 ","     .029 ","    2.812 ","          ","    1.205 ","     .182 ","     .090 ","     .048 ","    31.285 "
"404001 ","PLASTIX UNIT   SINTRA WHITE   2 MM ","  8","    37.670 ","          ","    1.020 ","     .220 ","    2.150 ","          ","          ","     .290 ","          ","          ","    41.350 "
"404002 ","PLASTIX 60X60  SINTRA WHITE   3 MM ","  8","    45.900 ","          ","    1.660 ","     .210 ","    2.620 ","          ","          ","     .360 ","          ","          ","    50.750 "
"404003 ","PLASTIX 60X60  SINTRA WHITE   4 MM ","  8","   113.532 ","          ","    5.960 ","     .950 ","    6.430 ","          ","    5.261 ","     .761 ","          ","          ","   132.894 "
"404004 ","PLASTIX 60X60  SINTRA WHITE   6 MM ","  8","    99.350 ","          ","    3.590 ","     .450 ","    5.660 ","          ","          ","     .770 ","          ","          ","   109.820 "
"404006 ","PLASTIX 60X60  SINTRA WHITE   10 M ","  8","   175.190 ","          ","    4.770 ","    1.040 ","   10.010 ","          ","          ","    1.350 ","          ","          ","   192.360 "
"404007 ","PLASTIX 60X60  SINTRA WHITE   18/1 ","  8","   154.150 ","          ","    4.990 ","     .570 ","    8.810 ","          ","          ","    1.190 ","          ","          ","   169.710 "
"404008 ","PLASTIX 60X60  PLEXIGLAS 3.2  CLEA ","  8","   163.072 ","          ","    6.504 ","     .511 ","          ","    9.327 ","    7.518 ","    1.043 ","          ","          ","   187.974 "
"404009 ","PLASTIX 60X60  PLEXIGLAS 4.7  CLEA ","  8","   276.640 ","          ","   11.033 ","     .867 ","          ","   15.823 ","   12.754 ","    1.665 ","          ","          ","   318.781 "
"404010 ","PLASTIX 60X60  PLEXIGLAS 6.3  CLEA ","  8","   320.320 ","          ","   12.775 ","    1.004 ","          ","   18.321 ","   14.767 ","    1.773 ","          ","          ","   368.959 "
"404011 ","PLASTIX 60X60  PLEXIGLAS 10 MM     ","  8","   349.440 ","          ","   13.936 ","    2.075 ","          ","   19.986 ","   16.194 ","    2.342 ","          ","          ","   403.973 "
"404012 ","PLASTIX        PLEXICEMENT PINT    ","  1","    35.490 ","          ","    1.415 ","     .211 ","          ","    2.040 ","    1.645 ","     .238 ","          ","          ","    41.039 "
"404013 ","PLASTIX        APPLICATORS         ","  1","     5.900 ","          ","     .500 ","     .040 ","     .340 ","          ","          ","     .050 ","          ","          ","     6.830 "
"404015 ","PLASTIX 60X60  PLEXIGLAS 3.2 OPAL  ","  8","   157.594 ","          ","    4.698 ","     .936 ","    8.926 ","          ","    7.303 ","    1.056 ","          ","          ","   180.513 "
"404016 ","PLASTIX 60X60  PLEXIGLAS 4.7 OPAL  ","  8","   236.382 ","          ","   10.148 ","     .764 ","   13.559 ","          ","   11.094 ","    1.600 ","          ","          ","   273.548 "
"404017 ","PLASTIX 60X60  PLEXIGLAS 6.3 OPAL  ","  8","   308.326 ","          ","   13.237 ","     .997 ","   17.686 ","          ","   14.470 ","    2.088 ","          ","          ","   356.804 "
"404018 ","PLASTIX 120X60 EGG CRATE           ","  1","    18.620 ","          ","    2.140 ","          ","    1.380 ","          ","          ","          ","          ","          ","    22.140 "
"404019 ","PLASTIX 60X60  COROPLAST 4MM       ","  8","    34.640 ","          ","    4.800 ","          ","    1.760 ","          ","          ","          ","          ","          ","    41.200 "
"404020 ","PLASTIX 60X60  PLEXIGLAS 3.2 BRONZ ","  8","   157.594 ","          ","    4.698 ","     .936 ","    8.926 ","          ","    7.303 ","    1.056 ","          ","          ","   180.513 "
"404021 ","PLASTIX 60X60  PLEXIGLAS 4.7 BRONZ ","  8","   236.382 ","          ","   10.148 ","     .764 ","   13.559 ","          ","   11.094 ","    1.600 ","          ","          ","   273.548 "
"404022 ","PLASTIX 60X60  PLEXIGLAS 6.3 BRONZ ","  8","   308.330 ","          ","   11.130 ","    1.410 ","   17.570 ","          ","          ","    2.390 ","          ","          ","   340.830 "
"404023 ","PLASTIX 60X60  PLEXIGLAS COLORS    ","  8","   157.594 ","          ","    6.285 ","     .936 ","          ","    9.014 ","    7.303 ","    1.056 ","          ","          ","   182.188 "
"404024 ","PLASTIX 60X60  LEXAN 3.2 CLEAR     ","  8","   193.903 ","          ","    7.733 ","     .480 ","          ","   11.090 ","    9.060 ","    1.311 ","          ","          ","   223.578 "
"404025 ","PLASTIX 60X60  LEXAN 4.7 CLEAR     ","  8","   255.564 ","          ","   10.192 ","     .630 ","          ","   14.617 ","   11.940 ","    1.728 ","          ","          ","   294.672 "
"404026 ","PLASTIX 60X60  LEXAN 6.3 CLEAR     ","  8","   364.510 ","          ","   14.537 ","     .900 ","          ","   20.848 ","   17.030 ","    2.465 ","          ","          ","   420.291 "
"404027 ","PLASTIX 60X60  LEXAN 3.2 BRONZ     ","  8","   213.741 ","          ","    6.372 ","    1.269 ","   12.106 ","          ","    9.905 ","    1.432 ","          ","          ","   244.826 "
"404028 ","PLASTIX 60X60  LEXAN 4.7 BRONZ     ","  8","   281.299 ","          ","   12.077 ","     .910 ","   16.136 ","          ","   13.202 ","    1.905 ","          ","          ","   325.528 "
"404029 ","PLASTIX 60X60  LEXAN 6.3 BRONZ     ","  8","   405.623 ","          ","   17.414 ","    1.312 ","   23.267 ","          ","   19.037 ","    2.746 ","          ","          ","   469.399 "
"404030 ","PLASTIX 60X60  LEXAN LIGHT DIFFUSE ","  8","   381.920 ","          ","   24.960 ","          ","   27.120 ","          ","          ","          ","          ","          ","   434.000 "
"404031 ","PLASTIX 60X60  SPIEGEL             ","  8","   274.070 ","          ","   23.430 ","    2.520 ","   16.020 ","          ","          ","    2.230 ","          ","          ","   318.270 "
"404032 ","PLASTIX 60X60  LEXAN 1.5 CLEAR     ","  8","   131.040 ","          ","    5.226 ","     .411 ","          ","    7.495 ","    6.041 ","     .762 ","          ","          ","   150.975 "
"404033 ","PLASTIX 60X60  LEXAN 4X8X9    12 M ","  8","   703.840 ","          ","   47.520 ","          ","   51.440 ","          ","          ","          ","          ","          ","   802.800 "
"404038 ","PLASTIX 120X60 EGG CRATE           "," 15","   279.300 ","          ","   32.100 ","          ","   20.700 ","          ","          ","          ","          ","          ","   332.100 "
"404039 ","LABELS 15 ROL AD 1110 PLAIN WHITE  "," 15","   250.614 ","    3.580 ","    6.461 ","     .440 ","   15.197 ","          ","   12.434 ","    1.605 ","          ","          ","   290.331 "
"404040 ","LABELS 15 ROL AD 1110 YELLOW  LABE "," 15","   297.020 ","    4.330 ","    9.770 ","    1.540 ","   17.110 ","          ","          ","    1.940 ","          ","          ","   331.710 "
"404041 ","LABELS 15 ROL AD 1110 FLOURESCENT  "," 15","   338.793 ","    6.420 ","    8.734 ","     .595 ","   20.544 ","          ","   16.809 ","    2.170 ","          ","          ","   394.065 "
"404042 ","LABELS 15 ROL AD 1110 FLOURESCENT  "," 15","   348.075 ","    4.870 ","    8.974 ","     .612 ","   21.107 ","          ","   17.269 ","    2.229 ","          ","          ","   403.136 "
"404043 ","LABELS 15 ROL AD 1110 FLOURESCENT  "," 15","   352.716 ","    4.530 ","    9.093 ","     .620 ","   21.388 ","          ","   17.500 ","    2.259 ","          ","          ","   408.106 "
"404044 ","LABELS 16 ROL AD 1115 PLAIN RED LA "," 16","   983.840 ","          ","   41.140 ","          ","   44.620 ","          ","          ","          ","          ","          ","  1069.600 "
"404045 ","LABELS 8 ROL  AD 1130/1131/1136 WH ","  8","   416.350 ","          ","   17.410 ","          ","   18.880 ","          ","          ","          ","          ","          ","   452.640 "
"404046 ","LABELS        AD MACHINE BANDS     ","  1","     2.180 ","          ","     .140 ","          ","     .150 ","          ","          ","          ","          ","          ","     2.470 "
"404047 ","MONARCHMACHINE 20 ROL AD 1110 LABE "," 20","  1116.750 ","   16.260 ","   32.250 ","    4.990 ","  120.660 ","          ","   51.710 ","    7.500 ","          ","          ","  1350.120 "
